utc_time,1min_bid_high,1min_ask_high,1min_bid_low,1min_ask_low,5min_bid_high,5min_ask_high,5min_bid_low,5min_ask_low
2022-04-26T07:00:00,6522.0,6523.5,6500.7,6501.7,6522.0,6523.5,6488.0,6489.0
2022-04-27T07:00:00,6429.2,6430.2,6418.7,6419.7,6434.4,6435.4,6409.4,6410.4
2022-04-28T07:00:00,6523.5,6524.5,6515.5,6516.5,6524.2,6525.2,6509.5,6510.5
2022-04-29T07:00:00,6560.2,6561.2,6551.0,6552.0,6560.5,6561.5,6543.7,6544.7
2022-05-02T07:00:00,6471.4,6472.4,6458.7,6459.7,6472.9,6473.9,6458.7,6459.7
2022-05-03T07:00:00,6463.6,6464.6,6446.9,6447.9,6463.6,6464.6,6436.6,6437.6
2022-05-04T07:00:00,6486.1,6487.1,6475.3,6476.3,6491.1,6492.1,6471.3,6472.3
2022-05-05T07:00:00,6548.9,6549.9,6536.1,6537.1,6559.4,6560.4,6536.1,6537.1
2022-05-06T07:00:00,6323.9,6324.9,6310.9,6311.9,6323.9,6324.9,6301.4,6302.4
2022-05-09T07:00:00,6220.4,6221.4,6204.4,6205.4,6236.9,6237.9,6204.4,6205.4
2022-05-10T07:00:00,6168.1,6169.1,6148.3,6149.3,6168.1,6169.1,6134.3,6135.3
2022-05-11T07:00:00,6186.2,6187.2,6173.7,6174.7,6191.4,6192.4,6173.7,6174.7
2022-05-12T07:00:00,6138.6,6139.6,6122.6,6123.6,6138.9,6139.9,6115.6,6116.6
2022-05-13T07:00:00,6258.4,6259.4,6244.9,6245.9,6258.4,6259.4,6241.6,6242.6
2022-05-16T07:00:00,6324.5,6325.5,6312.8,6313.8,6328.5,6329.5,6312.8,6313.8
2022-05-17T07:00:00,6390.9,6391.9,6375.9,6376.9,6396.9,6397.9,6375.9,6376.9
2022-05-18T07:00:00,6440.7,6441.7,6435.2,6436.2,6440.7,6441.7,6432.2,6433.2
2022-05-19T07:00:00,6282.9,6283.9,6272.4,6273.4,6282.9,6283.9,6271.9,6272.9
2022-05-20T07:00:00,6309.2,6310.2,6302.2,6303.2,6309.2,6310.2,6290.4,6291.4
2022-05-23T07:00:00,6354.0,6355.0,6341.5,6342.5,6354.0,6355.0,6330.0,6331.0
2022-05-24T07:00:00,6287.5,6288.5,6279.5,6280.5,6294.0,6295.0,6279.5,6280.5
2022-05-25T07:00:00,6306.7,6307.7,6293.0,6294.0,6306.7,6307.7,6282.5,6283.5
2022-05-26T07:00:00,6306.5,6307.5,6302.0,6303.0,6309.0,6310.0,6299.0,6300.0
2022-05-27T07:00:00,6448.4,6449.4,6441.9,6442.9,6462.1,6463.1,6441.9,6442.9
2022-05-30T07:00:00,6548.4,6549.4,6542.2,6543.2,6561.7,6562.7,6542.2,6543.2
2022-05-31T07:00:00,6542.6,6543.6,6533.3,6534.3,6543.6,6544.6,6533.3,6534.3
2022-06-01T07:00:00,6510.6,6511.6,6494.6,6495.6,6510.6,6511.6,6494.1,6495.1
2022-06-02T07:00:00,6449.2,6450.2,6442.2,6443.2,6459.2,6460.2,6442.2,6443.2
2022-06-03T07:00:00,6547.9,6548.9,6540.9,6541.9,6547.9,6548.9,6536.2,6537.2
