utc_time,1min_bid_high,1min_ask_high,1min_bid_low,1min_ask_low,5min_bid_high,5min_ask_high,5min_bid_low,5min_ask_low
2022-04-26T07:00:00,2069.75,2071.21,2063.5,2064.0,2071.5,2072.0,2063.5,2064.0
2022-04-27T07:00:00,2021.05,2021.55,2018.21,2019.3,2029.55,2030.05,2018.21,2019.3
2022-04-28T07:00:00,2066.65,2068.15,2058.27,2058.77,2066.65,2068.15,2055.4,2055.9
2022-04-29T07:00:00,2053.71,2055.21,2050.21,2050.71,2053.71,2055.21,2044.09,2044.59
2022-05-02T07:00:00,2045.29,2045.79,2036.79,2037.29,2045.29,2045.79,2035.54,2036.04
2022-05-03T07:00:00,2039.77,2040.27,2035.32,2036.82,2039.89,2040.39,2033.27,2033.77
2022-05-04T07:00:00,2034.6,2036.1,2027.3,2027.8,2034.6,2036.1,2022.05,2022.55
2022-05-05T07:00:00,2043.78,2044.28,2035.15,2035.65,2043.78,2044.28,2035.15,2035.65
2022-05-06T07:00:00,1979.29,1980.79,1971.43,1971.93,1979.29,1980.79,1971.3,1971.8
2022-05-09T07:00:00,1950.92,1951.42,1946.05,1946.55,1954.3,1954.8,1945.8,1946.3
2022-05-10T07:00:00,1943.78,1944.28,1939.16,1939.66,1943.78,1944.28,1934.91,1935.41
2022-05-11T07:00:00,1962.42,1962.92,1958.4,1958.92,1962.42,1962.92,1956.17,1956.67
2022-05-12T07:00:00,1947.89,1948.39,1938.64,1939.14,1948.01,1948.51,1938.64,1939.14
2022-05-13T07:00:00,1987.56,1989.06,1984.8,1985.3,1987.56,1989.06,1980.05,1980.55
2022-05-16T07:00:00,2006.09,2006.59,2000.48,2001.98,2009.46,2009.96,2000.48,2001.98
2022-05-17T07:00:00,2023.42,2024.92,2015.01,2015.51,2023.42,2024.92,2015.01,2015.51
2022-05-18T07:00:00,2033.63,2034.13,2029.52,2030.63,2033.63,2034.13,2029.52,2030.63
2022-05-19T07:00:00,1978.88,1980.19,1972.63,1973.13,1982.01,1982.51,1972.63,1973.13
2022-05-20T07:00:00,2008.23,2009.25,2004.85,2005.35,2008.23,2009.25,2001.23,2001.73
2022-05-23T07:00:00,2019.43,2019.93,2015.93,2016.43,2019.43,2019.93,2015.06,2015.56
2022-05-24T07:00:00,2003.3,2003.93,2000.67,2001.17,2004.8,2005.3,1999.92,2000.42
2022-05-25T07:00:00,2017.32,2018.82,2011.48,2011.98,2017.32,2018.82,2010.61,2011.11
2022-05-26T07:00:00,2004.48,2005.98,2002.62,2004.12,2005.42,2006.92,2002.61,2004.11
2022-05-27T07:00:00,2024.57,2026.07,2016.28,2016.78,2027.16,2027.66,2016.28,2016.78
2022-05-30T07:00:00,2072.84,2074.34,2069.38,2069.88,2076.75,2077.25,2069.38,2069.88
2022-05-31T07:00:00,2073.84,2074.34,2071.34,2071.84,2073.84,2074.34,2069.84,2070.34
2022-06-01T07:00:00,2061.7,2062.2,2053.97,2055.47,2061.7,2062.2,2051.7,2052.2
2022-06-02T07:00:00,2050.06,2050.72,2047.06,2047.56,2053.06,2053.56,2047.06,2047.56
2022-06-03T07:00:00,2094.24,2095.46,2088.24,2088.74,2094.24,2095.46,2086.74,2087.24
