utc_time,1min_bid_high,1min_ask_high,1min_bid_low,1min_ask_low,5min_bid_high,5min_ask_high,5min_bid_low,5min_ask_low
2022-04-26T07:00:00,4296.09,4296.69,4289.34,4289.94,4296.09,4296.69,4287.84,4288.44
2022-04-27T07:00:00,4201.62,4202.22,4200.12,4200.72,4204.62,4205.22,4197.37,4197.97
2022-04-28T07:00:00,4234.87,4235.47,4231.87,4232.47,4234.87,4235.47,4229.49,4230.09
2022-04-29T07:00:00,4275.64,4276.24,4273.14,4273.74,4275.64,4276.24,4266.39,4266.99
2022-05-02T07:00:00,4158.82,4159.42,4156.7,4157.3,4159.45,4160.05,4153.82,4154.42
2022-05-03T07:00:00,4161.86,4162.46,4158.24,4158.84,4161.86,4162.46,4152.49,4153.09
2022-05-04T07:00:00,4184.78,4185.38,4182.28,4182.88,4185.78,4186.38,4180.78,4181.38
2022-05-05T07:00:00,4288.65,4289.25,4285.53,4286.13,4290.03,4290.63,4284.78,4285.38
2022-05-06T07:00:00,4141.27,4141.87,4137.64,4138.24,4141.27,4141.87,4133.77,4134.37
2022-05-09T07:00:00,4090.7,4091.3,4085.33,4085.93,4092.83,4093.43,4085.33,4085.93
2022-05-10T07:00:00,4035.04,4035.64,4031.41,4032.01,4035.04,4035.64,4029.41,4030.01
2022-05-11T07:00:00,4016.37,4016.97,4013.12,4013.72,4016.37,4016.97,4011.12,4011.72
2022-05-12T07:00:00,3918.97,3919.57,3915.1,3915.7,3918.97,3919.57,3909.97,3910.57
2022-05-13T07:00:00,3964.7,3965.3,3960.2,3960.8,3964.7,3965.3,3955.7,3956.3
2022-05-16T07:00:00,3998.77,3999.37,3994.77,3995.37,4000.77,4001.37,3994.77,3995.37
2022-05-17T07:00:00,4031.72,4032.32,4027.97,4028.57,4034.47,4035.07,4027.97,4028.57
2022-05-18T07:00:00,4076.82,4077.42,4074.94,4075.54,4076.82,4077.42,4072.57,4073.17
2022-05-19T07:00:00,3918.08,3918.68,3911.08,3911.68,3918.08,3918.68,3909.08,3909.68
2022-05-20T07:00:00,3923.09,3923.69,3919.84,3920.44,3924.09,3924.69,3919.84,3920.44
2022-05-23T07:00:00,3957.16,3957.76,3952.91,3953.51,3957.16,3957.76,3947.41,3948.01
2022-05-24T07:00:00,3924.85,3925.45,3921.1,3921.7,3926.85,3927.45,3921.1,3921.7
2022-05-25T07:00:00,3969.06,3969.66,3964.94,3965.54,3969.06,3969.66,3960.19,3960.79
2022-05-26T07:00:00,3973.25,3973.85,3970.5,3971.1,3975.13,3975.73,3970.5,3971.1
2022-05-27T07:00:00,4057.54,4058.14,4054.91,4055.51,4059.79,4060.39,4054.79,4055.39
2022-05-30T07:00:00,4193.26,4193.86,4191.51,4192.11,4196.01,4196.61,4191.51,4192.11
2022-05-31T07:00:00,4151.01,4151.61,4147.51,4148.11,4151.51,4152.11,4145.76,4146.36
2022-06-01T07:00:00,4148.25,4148.85,4142.87,4143.47,4148.25,4148.85,4141.25,4141.85
2022-06-02T07:00:00,4110.56,4111.16,4107.81,4108.41,4110.56,4111.16,4107.81,4108.41
2022-06-03T07:00:00,4178.24,4178.84,4175.99,4176.59,4178.24,4178.84,4172.11,4172.71
